Player_ID,Player_name,Age,Stance,Batting_order,Bowler_Type
1006,"Moeen Ali",36,Left,"Middle ",Spinner
1007,"Shivam Dube",30,Left,"Middle ",Faster
1009,"Dwaine Pretorius",34,Right,"Middle ",Faster
1011,"Ravindra Jadeja",34,Left,"Middle ",Spinner
1020,"Ben Stokes",32,Left,"Middle ",Faster
1024,"Ajay Mandal",27,Left,"Middle ",Spinner
1025,"Bhagath Varma",25,Right,"Middle ",Spinner
1027,"Axar Patel",29,Left,"Middle ",Spinner
1031,"Mitchell Marsh",32,Right,"Middle ",Faster
1038,"Lalit Yadav",26,Right,"Middle ",Spinner
1039,"Ripal Patel",28,Right,"Middle ",Faster
1044,"Aman Khan",26,Right,"Middle ",Faster
1050,"Hardik Pandya (c)",30,Right,"Middle ",Faster
1057,"Rashid Khan",25,Right,Lower,Spinner
1058,"Rahul Tewatia",30,Left,"Middle ",Spinner
1059,"Vijay Shankar",32,Right,"Middle ",Faster
1064,"Darshan Nalkande",25,Right,"Middle ",Faster
1065,"Jayant Yadav",33,Right,"Middle ",Spinner
1068,"Odean Smith",27,Right,"Middle ",Faster
1070,"Shivam Mavi",24,Right,"Middle ",Faster
1075,"Venkatesh Iyer",28,Left,Opener,Faster
1076,"Andre Russell",35,Right,"Middle ",Faster
1077,"Sunil Narine",35,Left,"Middle ",Spinner
1082,"Anukul Roy",24,Left,"Middle ",Spinner
1090,"David Wiese",38,Right,"Middle ",Faster
1097,"Marcus Stoinis",34,Right,"Middle ",Faster
1100,"Deepak Hooda",28,Right,"Middle ",Spinner
1101,"Krunal Pandya",32,Left,"Middle ",Spinner
1104,"K Gowtham",35,Right,"Middle ",Spinner
1107,"Ayush Badoni",23,Right,"Middle ",Spinner
1109,"Karan Sharma",25,Right,"Middle ",Spinner
1113,"Romario Shepherd",28,Right,"Middle ",Faster
1114,"Daniel Sams",31,Right,"Middle ",Faster
1118,"Yudhvir Charak",26,Right,"Middle ",Faster
1126,"Tim David",27,Right,"Middle ",Faster
1129,"Hrithik Shokeen",23,Right,"Middle ",Spinner
1135,"Cameron Green",24,Right,"Middle ",Faster
1137,"Piyush Chawla",34,Left,"Middle ",Spinner
1140,"Shams Mulani",26,Left,"Middle ",Spinner
1141,"Nehal Wadhera",23,Left,"Middle ",Spinner
1147,"Matthew Short",28,Right,"Middle ",Spinner
1148,"Shahrukh Khan",28,Right,"Middle ",Spinner
1149,"Harpreet Brar",28,Left,"Middle ",Spinner
1153,"Liam Livingstone",30,Right,"Middle ",Spinner
1154,"Rishi Dhawan",33,Right,"Middle ",Faster
1157,"Atharva Taide",23,Left,"Middle ",Spinner
1159,"Sam Curran",25,Left,"Middle ",Faster
1160,"Sikandar Raza",37,Right,"Middle ",Spinner
1163,"Mohit Rathe",24,Right,"Middle ",Spinner
1164,"Shivam Singh",27,Right,"Middle ",Spinner
1172,"Riyan Parag",22,Right,"Middle ",Spinner
1181,"Jason Holder",32,Right,"Middle ",Faster
1187,"Akash Vashisht",28,Left,"Middle ",Spinner
1190,"Glenn Maxwell",35,Right,"Middle ",Spinner
1196,"Shahbaz Ahemad",28,Left,"Middle ",Spinner
1200,"Mahipal Lomror",24,Left,"Middle ",Spinner
1203,"Karn Sharma",36,Left,Lower,Spinner
1207,"Micheal Bracewell",32,Left,"Middle ",Spinner
1210,"Sonu Yadav",24,Right,"Middle ",Faster
1214,"Washington Sundar",24,Left,"Middle ",Spinner
1216,"Abhishek Sharma",23,Left,Opener,Spinner
1229,"Vivrant Sharma",24,Left,"Middle ",Spinner
1230,"Sanvir Singh",27,Right,"Middle ",Faster
1233,"Nitish Kumar Reddy",20,Right,"Middle ",Faster
