Auction_ID,Prev_Year_Price,Base_Price
3001,12000000,2000000
3002,1000000,2000000
3003,6000000,2000000
3004,67500000,2000000
3005,2000000,2000000
3006,8000000,2000000
3007,4000000,2000000
3008,15000000,2000000
3009,5000000,2000000
3010,19000000,2000000
3011,16000000,2000000
3012,2000000,2000000
3013,2000000,2000000
3014,2000000,2000000
3015,2000000,2000000
3016,14000000,2000000
3017,12000000,2000000
3018,7000000,2000000
3019,5000000,2000000
3020,16250000,2000000
3021,2000000,2000000
3022,6000000,2000000
3023,5000000,2000000
3024,2000000,2000000
3025,2000000,2000000
3026,2000000,2000000
3027,9000000,2000000
3028,75000000,2000000
3029,65000000,2000000
3030,62500000,2000000
3031,65000000,2000000
3032,2000000,2000000
3033,2000000,2000000
3034,2000000,2000000
3035,2000000,2000000
3036,52500000,2000000
3037,42000000,2000000
3038,6500000,2000000
3039,2000000,2000000
3040,5000000,2000000
3041,28000000,2000000
3042,5000000,2000000
3043,5000000,2000000
3044,2000000,2000000
3045,2000000,2000000
3046,5000000,2000000
3047,55000000,2000000
3048,24000000,2000000
3049,46000000,2000000
3050,15000000,2000000
3051,7000000,2000000
3052,3000000,2000000
3053,26000000,2000000
3054,2000000,2000000
3055,19000000,2000000
3056,24000000,2000000
3057,15000000,2000000
3058,9000000,2000000
3059,14000000,2000000
3060,62500000,2000000
3061,24000000,2000000
3062,32000000,2000000
3063,2000000,2000000
3064,2000000,2000000
3065,17000000,2000000
3066,3000000,2000000
3067,3000000,2000000
3068,5000000,2000000
3069,12000000,2000000
3070,6000000,2000000
3071,2000000,2000000
3072,44000000,2000000
3073,5000000,2000000
3074,8000000,2000000
3075,8000000,2000000
3076,12000000,2000000
3077,6000000,2000000
3078,2000000,2000000
3079,15000000,2000000
3080,2000000,2000000
3081,8000000,2000000
3082,2000000,2000000
3083,5500000,2000000
3084,5000000,2000000
3085,10750000,2000000
3086,10000000,2000000
3087,9000000,2000000
3088,6000000,2000000
3089,2000000,2000000
3090,1000000,2000000
3091,2000000,2000000
3092,5000000,2000000
3093,10750000,2000000
3094,2000000,2000000
3095,5000000,2000000
3096,15000000,2000000
3097,11000000,2000000
3098,4000000,2000000
3099,67500000,2000000
3100,57500000,2000000
3101,82500000,2000000
3102,10000000,2000000
3103,75000000,2000000
3104,9000000,2000000
3105,2000000,2000000
3106,2000000,2000000
3107,2000000,2000000
3108,5000000,2000000
3109,2000000,2000000
3110,16000000,2000000
3111,5000000,2000000
3112,4500000,2000000
3113,5000000,2000000
3114,7500000,2000000
3115,5000000,2000000
3116,2000000,2000000
3117,5000000,2000000
3118,2000000,2000000
3119,2000000,2000000
3120,16000000,2000000
3121,2000000,2000000
3122,8000000,2000000
3123,15250000,2000000
3124,3000000,2000000
3125,17000000,2000000
3126,82500000,2000000
3127,2000000,2000000
3128,2000000,2000000
3129,2000000,2000000
3130,3000000,2000000
3131,2000000,2000000
3132,2000000,2000000
3133,7500000,2000000
3134,2000000,2000000
3135,17500000,2000000
3136,15000000,2000000
3137,5000000,2000000
3138,2000000,2000000
3139,2000000,2000000
3140,2000000,2000000
3141,2000000,2000000
3142,2000000,2000000
3143,2000000,2000000
3144,4000000,2000000
3145,82500000,2000000
3146,92500000,2000000
3147,2000000,2000000
3148,9000000,2000000
3149,38000000,2000000
3150,6000000,2000000
3151,2000000,2000000
3152,52500000,2000000
3153,11500000,2000000
3154,5500000,2000000
3155,2000000,2000000
3156,7500000,2000000
3157,2000000,2000000
3158,5000000,2000000
3159,18500000,2000000
3160,5000000,2000000
3161,4000000,2000000
3162,2000000,2000000
3163,2000000,2000000
3164,2000000,2000000
3165,14000000,2000000
3166,10000000,2000000
3167,4000000,2000000
3168,5000000,2000000
3169,8000000,2000000
3170,85000000,2000000
3171,77500000,2000000
3172,38000000,2000000
3173,3000000,2000000
3174,5000000,2000000
3175,65000000,2000000
3176,26000000,2000000
3177,7500000,2000000
3178,2000000,2000000
3179,2000000,2000000
3180,2000000,2000000
3181,57500000,2000000
3182,5000000,2000000
3183,2000000,2000000
3184,15000000,2000000
3185,3000000,2000000
3186,2000000,2000000
3187,2000000,2000000
3188,1000000,2000000
3189,15000000,2000000
3190,11000000,2000000
3191,7000000,2000000
3192,7000000,2000000
3193,10750000,2000000
3194,10750000,2000000
3195,55000000,2000000
3196,24000000,2000000
3197,34000000,2000000
3198,2000000,2000000
3199,77500000,2000000
3200,9500000,2000000
3201,8000000,2000000
3202,3000000,2000000
3203,5000000,2000000
3204,2000000,2000000
3205,7500000,2000000
3206,2000000,2000000
3207,1000000,2000000
3208,7000000,2000000
3209,6000000,2000000
3210,2000000,2000000
3211,2000000,2000000
3212,4000000,2000000
3213,4000000,2000000
3214,87500000,2000000
3215,85000000,2000000
3216,65000000,2000000
3217,4000000,2000000
3218,4000000,2000000
3219,42000000,2000000
3220,26000000,2000000
3221,42000000,2000000
3222,15000000,2000000
3223,5000000,2000000
3224,13250000,2000000
3225,82500000,2000000
3226,52500000,2000000
3227,2000000,2000000
3228,5000000,2000000
3229,26000000,2000000
3230,2000000,2000000
3231,2500000,2000000
3232,18000000,2000000
3233,2000000,2000000
3234,1000000,2000000
3235,2000000,2000000
