Performance_ID,Run_Scored,Balls_Faced,No_of_boundaries,MOM,Wickets_taken,Player_ID,Match_Num
10001,1,6,0,No,0,1002,1
10002,92,50,13,No,0,1003,1
10003,23,17,5,No,0,1006,1
10004,7,6,1,No,0,1020,1
10005,12,12,1,No,0,1004,1
10006,19,18,1,No,0,1007,1
10007,1,2,0,No,1,1011,1
10008,14,7,2,No,0,1001,1
10009,0,0,0,No,3,1008,1
10010,0,0,0,No,1,1012,1
10011,1,3,0,No,0,1010,1
10012,25,16,4,No,0,1055,1
10013,63,36,9,No,0,1051,1
10014,22,17,3,No,0,1054,1
10015,8,11,0,No,0,1050,1
10016,27,21,3,No,0,1059,1
10017,15,14,2,No,0,1058,1
10018,10,3,2,Yes,2,1057,1
10019,0,0,0,No,2,1060,1
10020,0,0,0,No,1,1072,1
10021,0,0,0,No,2,1061,1
10022,23,12,4,No,0,1150,2
10023,40,29,6,No,0,1145,2
10024,50,32,7,No,0,1158,2
10025,21,11,3,No,0,1151,2
10026,16,13,2,No,1,1160,2
10027,26,17,2,No,1,1159,2
10028,11,7,2,No,1,1148,2
10029,2,4,0,No,0,1092,2
10030,22,16,4,No,0,1084,2
10031,4,5,1,No,0,1082,2
10032,34,28,4,No,1,1075,2
10033,24,17,4,No,0,1074,2
10034,4,4,0,No,0,1083,2
10035,35,19,5,No,1,1076,2
10036,8,3,1,No,2,1085,2
10037,7,2,1,No,2,1077,2
10038,0,0,0,Yes,3,1144,2
10039,0,0,0,No,2,1079,2
10040,0,0,0,No,1,1078,2
10041,8,12,1,No,0,1096,3
10042,73,38,9,No,0,1108,3
10043,17,18,0,No,0,1100,3
10044,15,13,1,No,1,1101,3
10045,12,10,1,No,1,1097,3
10046,36,21,5,No,0,1110,3
10047,18,7,3,No,0,1107,3
10048,6,1,1,No,0,1104,3
10049,12,9,2,No,0,1028,3
10050,56,48,7,No,0,1030,3
10051,0,1,0,No,0,1031,3
10052,4,9,1,No,0,1032,3
10053,30,20,4,No,0,1049,3
10054,1,3,0,No,0,1041,3
10055,4,5,0,No,0,1044,3
